Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat May 1 2021,7:00p,Detroit Pistons,,Charlotte Hornets,,,,,
Sat May 1 2021,7:30p,Golden State Warriors,,Houston Rockets,,,,,
Sat May 1 2021,8:00p,Chicago Bulls,,Atlanta Hawks,,,,,
Sat May 1 2021,8:00p,Miami Heat,,Cleveland Cavaliers,,,,,
Sat May 1 2021,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,
Sat May 1 2021,8:00p,Indiana Pacers,,Oklahoma City Thunder,,,,,
Sat May 1 2021,8:00p,Memphis Grizzlies,,Orlando Magic,,,,,
Sat May 1 2021,9:00p,Washington Wizards,,Dallas Mavericks,,,,,
Sat May 1 2021,10:00p,Denver Nuggets,,Los Angeles Clippers,,,,,
Sat May 1 2021,10:00p,Toronto Raptors,,Utah Jazz,,,,,
Sun May 2 2021,3:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,
Sun May 2 2021,7:30p,Portland Trail Blazers,,Boston Celtics,,,,,
Sun May 2 2021,8:00p,Miami Heat,,Charlotte Hornets,,,,,
Sun May 2 2021,8:00p,Sacramento Kings,,Dallas Mavericks,,,,,
Sun May 2 2021,8:00p,New York Knicks,,Houston Rockets,,,,,
Sun May 2 2021,8:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
Sun May 2 2021,8:00p,Philadelphia 76ers,,San Antonio Spurs,,,,,
Sun May 2 2021,10:00p,Toronto Raptors,,Los Angeles Lakers,,,,,
Mon May 3 2021,7:00p,Orlando Magic,,Detroit Pistons,,,,,
Mon May 3 2021,7:00p,Indiana Pacers,,Washington Wizards,,,,,
Mon May 3 2021,7:30p,Golden State Warriors,,New Orleans Pelicans,,,,,
Mon May 3 2021,8:00p,Portland Trail Blazers,,Atlanta Hawks,,,,,
Mon May 3 2021,9:00p,Philadelphia 76ers,,Chicago Bulls,,,,,
Mon May 3 2021,9:00p,New York Knicks,,Memphis Grizzlies,,,,,
Mon May 3 2021,10:00p,Denver Nuggets,,Los Angeles Lakers,,,,,
Mon May 3 2021,10:00p,San Antonio Spurs,,Utah Jazz,,,,,
Tue May 4 2021,7:00p,Phoenix Suns,,Cleveland Cavaliers,,,,,
Tue May 4 2021,7:00p,Charlotte Hornets,,Detroit Pistons,,,,,
Tue May 4 2021,7:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,
Tue May 4 2021,8:00p,Dallas Mavericks,,Miami Heat,,,,,
Tue May 4 2021,8:00p,Golden State Warriors,,New Orleans Pelicans,,,,,
Tue May 4 2021,8:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,
Tue May 4 2021,10:00p,Toronto Raptors,,Los Angeles Clippers,,,,,
Wed May 5 2021,7:00p,Boston Celtics,,Orlando Magic,,,,,
Wed May 5 2021,7:30p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,
Wed May 5 2021,8:00p,Phoenix Suns,,Atlanta Hawks,,,,,
Wed May 5 2021,8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
Wed May 5 2021,8:00p,Sacramento Kings,,Indiana Pacers,,,,,
Wed May 5 2021,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
Wed May 5 2021,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
Wed May 5 2021,9:00p,New York Knicks,,Denver Nuggets,,,,,
Wed May 5 2021,9:00p,San Antonio Spurs,,Utah Jazz,,,,,
Thu May 6 2021,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,
Thu May 6 2021,7:30p,Brooklyn Nets,,Dallas Mavericks,,,,,
Thu May 6 2021,7:30p,Washington Wizards,,Toronto Raptors,,,,,
Thu May 6 2021,8:00p,Memphis Grizzlies,,Detroit Pistons,,,,,
Thu May 6 2021,8:00p,Atlanta Hawks,,Indiana Pacers,,,,,
Thu May 6 2021,10:00p,Oklahoma City Thunder,,Golden State Warriors,,,,,
Thu May 6 2021,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
Fri May 7 2021,7:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
Fri May 7 2021,7:30p,Boston Celtics,,Chicago Bulls,,,,,
Fri May 7 2021,8:00p,Orlando Magic,,Charlotte Hornets,,,,,
Fri May 7 2021,8:00p,Minnesota Timberwolves,,Miami Heat,,,,,
Fri May 7 2021,8:00p,Houston Rockets,,Milwaukee Bucks,,,,,
Fri May 7 2021,8:30p,Cleveland Cavaliers,,Dallas Mavericks,,,,,
Fri May 7 2021,10:00p,New York Knicks,,Phoenix Suns,,,,,
Fri May 7 2021,10:00p,Los Angeles Lakers,,Portland Trail Blazers,,,,,
Fri May 7 2021,10:00p,San Antonio Spurs,,Sacramento Kings,,,,,
Fri May 7 2021,10:00p,Denver Nuggets,,Utah Jazz,,,,,
Sat May 8 2021,7:00p,Washington Wizards,,Indiana Pacers,,,,,
